*** NEC ADMITTANCE FILE
 Fan antenna impedance.  Symbols a 1 Mhz increments                                                                    
            F (MHz)        ZR          ZI
     368  3.28511E+00 1.40377E-04 8.74470E-03
     369  3.28861E+00 1.41393E-04 8.76879E-03
     370  3.29211E+00 1.42415E-04 8.79298E-03
     371  3.29561E+00 1.43445E-04 8.81728E-03
     372  3.29911E+00 1.44484E-04 8.84169E-03
     373  3.30262E+00 1.45531E-04 8.86620E-03
     374  3.30612E+00 1.46587E-04 8.89083E-03
     375  3.30962E+00 1.47649E-04 8.91555E-03
     376  3.31312E+00 1.48720E-04 8.94039E-03
     377  3.31662E+00 1.49800E-04 8.96534E-03
     378  3.32012E+00 1.50887E-04 8.99040E-03
     379  3.32363E+00 1.51985E-04 9.01557E-03
     380  3.32713E+00 1.53090E-04 9.04085E-03
     381  3.33063E+00 1.54203E-04 9.06625E-03
     382  3.33413E+00 1.55326E-04 9.09176E-03
     383  3.33763E+00 1.56458E-04 9.11739E-03
     384  3.34113E+00 1.57598E-04 9.14313E-03
     385  3.34464E+00 1.58747E-04 9.16898E-03
     386  3.34814E+00 1.59907E-04 9.19496E-03
     387  3.35164E+00 1.61074E-04 9.22106E-03
     388  3.35514E+00 1.62251E-04 9.24727E-03
     389  3.35864E+00 1.63437E-04 9.27360E-03
     390  3.36214E+00 1.64633E-04 9.30006E-03
     391  3.36564E+00 1.65837E-04 9.32663E-03
     392  3.36915E+00 1.67053E-04 9.35334E-03
     393  3.37265E+00 1.68277E-04 9.38016E-03
     394  3.37615E+00 1.69512E-04 9.40712E-03
     395  3.37965E+00 1.70756E-04 9.43419E-03
     396  3.38315E+00 1.72009E-04 9.46139E-03
     397  3.38665E+00 1.73273E-04 9.48872E-03
     398  3.39016E+00 1.74547E-04 9.51618E-03
     399  3.39366E+00 1.75834E-04 9.54377E-03
     400  3.39716E+00 1.77127E-04 9.57149E-03
     401  3.40066E+00 1.78434E-04 9.59935E-03
     402  3.40416E+00 1.79750E-04 9.62733E-03
     403  3.40766E+00 1.81076E-04 9.65545E-03
     404  3.41117E+00 1.82414E-04 9.68371E-03
     405  3.41467E+00 1.83762E-04 9.71210E-03
     406  3.41817E+00 1.85121E-04 9.74062E-03
     407  3.42167E+00 1.86490E-04 9.76929E-03
     408  3.42517E+00 1.87873E-04 9.79809E-03
     409  3.42867E+00 1.89266E-04 9.82704E-03
     410  3.43218E+00 1.90670E-04 9.85613E-03
     411  3.43568E+00 1.92087E-04 9.88536E-03
     412  3.43918E+00 1.93515E-04 9.91474E-03
     413  3.44268E+00 1.94954E-04 9.94426E-03
     414  3.44618E+00 1.96406E-04 9.97393E-03
     415  3.44968E+00 1.97868E-04 1.00037E-02
     416  3.45319E+00 1.99343E-04 1.00337E-02
     417  3.45669E+00 2.00831E-04 1.00638E-02
     418  3.46019E+00 2.02330E-04 1.00941E-02
     419  3.46369E+00 2.03842E-04 1.01245E-02
     420  3.46719E+00 2.05368E-04 1.01551E-02
     421  3.47069E+00 2.06905E-04 1.01858E-02
     422  3.47420E+00 2.08457E-04 1.02167E-02
     423  3.47770E+00 2.10021E-04 1.02477E-02
     424  3.48120E+00 2.11597E-04 1.02789E-02
     425  3.48470E+00 2.13188E-04 1.03103E-02
     426  3.48820E+00 2.14791E-04 1.03418E-02
     427  3.49170E+00 2.16408E-04 1.03735E-02
     428  3.49521E+00 2.18040E-04 1.04053E-02
     429  3.49871E+00 2.19685E-04 1.04373E-02
     430  3.50221E+00 2.21343E-04 1.04695E-02
     431  3.50571E+00 2.23015E-04 1.05019E-02
     432  3.50921E+00 2.24700E-04 1.05344E-02
     433  3.51271E+00 2.26401E-04 1.05671E-02
     434  3.51622E+00 2.28117E-04 1.06000E-02
     435  3.51972E+00 2.29846E-04 1.06330E-02
     436  3.52322E+00 2.31592E-04 1.06662E-02
     437  3.52672E+00 2.33352E-04 1.06996E-02
     438  3.53022E+00 2.35126E-04 1.07332E-02
     439  3.53372E+00 2.36917E-04 1.07669E-02
     440  3.53723E+00 2.38722E-04 1.08009E-02
     441  3.54073E+00 2.40545E-04 1.08350E-02
     442  3.54423E+00 2.42382E-04 1.08693E-02
     443  3.54773E+00 2.44236E-04 1.09038E-02
     444  3.55123E+00 2.46106E-04 1.09385E-02
     445  3.55473E+00 2.47993E-04 1.09733E-02
     446  3.55824E+00 2.49895E-04 1.10084E-02
     447  3.56174E+00 2.51814E-04 1.10436E-02
     448  3.56524E+00 2.53750E-04 1.10791E-02
     449  3.56874E+00 2.55705E-04 1.11147E-02
     450  3.57224E+00 2.57677E-04 1.11506E-02
     451  3.57574E+00 2.59663E-04 1.11866E-02
     452  3.57925E+00 2.61671E-04 1.12229E-02
     453  3.58275E+00 2.63694E-04 1.12593E-02
     454  3.58625E+00 2.65737E-04 1.12960E-02
     455  3.58975E+00 2.67798E-04 1.13329E-02
     456  3.59325E+00 2.69877E-04 1.13700E-02
     457  3.59675E+00 2.71975E-04 1.14073E-02
     458  3.60026E+00 2.74092E-04 1.14448E-02
     459  3.60376E+00 2.76227E-04 1.14825E-02
     460  3.60726E+00 2.78383E-04 1.15204E-02
     461  3.61076E+00 2.80556E-04 1.15586E-02
     462  3.61426E+00 2.82751E-04 1.15970E-02
     463  3.61776E+00 2.84966E-04 1.16356E-02
     464  3.62127E+00 2.87203E-04 1.16744E-02
     465  3.62477E+00 2.89457E-04 1.17135E-02
     466  3.62827E+00 2.91731E-04 1.17528E-02
     467  3.63177E+00 2.94031E-04 1.17923E-02
     468  3.63527E+00 2.96349E-04 1.18321E-02
     469  3.63877E+00 2.98690E-04 1.18721E-02
     470  3.64228E+00 3.01050E-04 1.19123E-02
     471  3.64578E+00 3.03435E-04 1.19528E-02
     472  3.64928E+00 3.05841E-04 1.19935E-02
     473  3.65278E+00 3.08268E-04 1.20345E-02
     474  3.65628E+00 3.10722E-04 1.20757E-02
     475  3.65978E+00 3.13194E-04 1.21172E-02
     476  3.66329E+00 3.15692E-04 1.21589E-02
     477  3.66679E+00 3.18215E-04 1.22009E-02
     478  3.67029E+00 3.20761E-04 1.22432E-02
     479  3.67379E+00 3.23329E-04 1.22857E-02
     480  3.67729E+00 3.25925E-04 1.23285E-02
     481  3.68079E+00 3.28542E-04 1.23715E-02
     482  3.68430E+00 3.31186E-04 1.24148E-02
     483  3.68780E+00 3.33856E-04 1.24584E-02
     484  3.69130E+00 3.36553E-04 1.25022E-02
     485  3.69480E+00 3.39272E-04 1.25464E-02
     486  3.69830E+00 3.42020E-04 1.25908E-02
     487  3.70180E+00 3.44793E-04 1.26355E-02
     488  3.70531E+00 3.47596E-04 1.26805E-02
     489  3.70881E+00 3.50426E-04 1.27258E-02
     490  3.71231E+00 3.53282E-04 1.27713E-02
     491  3.71581E+00 3.56166E-04 1.28172E-02
     492  3.71931E+00 3.59077E-04 1.28634E-02
     493  3.72281E+00 3.62020E-04 1.29098E-02
     494  3.72632E+00 3.64990E-04 1.29566E-02
     495  3.72982E+00 3.67993E-04 1.30037E-02
     496  3.73332E+00 3.71020E-04 1.30511E-02
     497  3.73682E+00 3.74083E-04 1.30988E-02
     498  3.74032E+00 3.77173E-04 1.31468E-02
     499  3.74382E+00 3.80298E-04 1.31951E-02
     500  3.74733E+00 3.83449E-04 1.32438E-02
     501  3.75083E+00 3.86638E-04 1.32928E-02
     502  3.75433E+00 3.89858E-04 1.33421E-02
     503  3.75783E+00 3.93109E-04 1.33918E-02
     504  3.76133E+00 3.96394E-04 1.34418E-02
     505  3.76483E+00 3.99709E-04 1.34921E-02
     506  3.76834E+00 4.03061E-04 1.35428E-02
