# co_eff.asc
# Efficiency: eta = P_rad / P_in
# Frequency               P_in                    P_rad                   eta
  0.230000000000000E+002  0.000000000000000E+000  0.124426277986544E-003                     INF
  0.231000000000000E+002  0.000000000000000E+000  0.118334780421378E-003                     INF
  0.232000000000000E+002  0.000000000000000E+000  0.120859463641834E-003                     INF
  0.233000000000000E+002  0.000000000000000E+000  0.124035382591044E-003                     INF
  0.234000000000000E+002  0.000000000000000E+000  0.126930341757912E-003                     INF
  0.235000000000000E+002  0.000000000000000E+000  0.129500194268583E-003                     INF
  0.236000000000000E+002  0.000000000000000E+000  0.131816954170053E-003                     INF
  0.237000000000000E+002  0.000000000000000E+000  0.133949428213732E-003                     INF
  0.238000000000000E+002  0.000000000000000E+000  0.135950712617491E-003                     INF
  0.239000000000000E+002  0.000000000000000E+000  0.137858949158415E-003                     INF
  0.240000000000000E+002  0.000000000000000E+000  0.139701787877926E-003                     INF
  0.241000000000000E+002  0.000000000000000E+000  0.141499803426716E-003                     INF
  0.242000000000000E+002  0.000000000000000E+000  0.143268503766484E-003                     INF
  0.243000000000000E+002  0.000000000000000E+000  0.145019827225187E-003                     INF
  0.244000000000000E+002  0.000000000000000E+000  0.146763178142229E-003                     INF
  0.245000000000000E+002  0.000000000000000E+000  0.148506147922512E-003                     INF
  0.246000000000000E+002  0.000000000000000E+000  0.150254969818759E-003                     INF
  0.247000000000000E+002  0.000000000000000E+000  0.152014881695277E-003                     INF
  0.248000000000000E+002  0.000000000000000E+000  0.153790411659353E-003                     INF
  0.249000000000000E+002  0.000000000000000E+000  0.155585549012763E-003                     INF
  0.250000000000000E+002  0.000000000000000E+000  0.157403874815557E-003                     INF
  0.251000000000000E+002  0.000000000000000E+000  0.159248662214199E-003                     INF
  0.252000000000000E+002  0.000000000000000E+000  0.161122953806451E-003                     INF
  0.253000000000000E+002  0.000000000000000E+000  0.163029697527958E-003                     INF
  0.254000000000000E+002  0.000000000000000E+000  0.164971681627386E-003                     INF
  0.255000000000000E+002  0.000000000000000E+000  0.166951452759478E-003                     INF
  0.256000000000000E+002  0.000000000000000E+000  0.168971622964747E-003                     INF
  0.257000000000000E+002  0.000000000000000E+000  0.171034776706512E-003                     INF
  0.258000000000000E+002  0.000000000000000E+000  0.173143492593388E-003                     INF
  0.259000000000000E+002  0.000000000000000E+000  0.175300362131120E-003                     INF
  0.260000000000000E+002  0.000000000000000E+000  0.177508006212913E-003                     INF
  0.261000000000000E+002  0.000000000000000E+000  0.179769089937142E-003                     INF
  0.262000000000000E+002  0.000000000000000E+000  0.182086336224613E-003                     INF
  0.263000000000000E+002  0.000000000000000E+000  0.184462538646983E-003                     INF
  0.264000000000000E+002  0.000000000000000E+000  0.186900573921753E-003                     INF
  0.265000000000000E+002  0.000000000000000E+000  0.189403414379854E-003                     INF
  0.266000000000000E+002  0.000000000000000E+000  0.191974139447065E-003                     INF
  0.267000000000000E+002  0.000000000000000E+000  0.194615947405570E-003                     INF
  0.268000000000000E+002  0.000000000000000E+000  0.197332179102391E-003                     INF
  0.269000000000000E+002  0.000000000000000E+000  0.200126310574238E-003                     INF
  0.270000000000000E+002  0.000000000000000E+000  0.203001952249724E-003                     INF
  0.271000000000000E+002  0.000000000000000E+000  0.205962880777266E-003                     INF
  0.272000000000000E+002  0.000000000000000E+000  0.209013055255501E-003                     INF
  0.273000000000000E+002  0.000000000000000E+000  0.212156637927657E-003                     INF
  0.274000000000000E+002  0.000000000000000E+000  0.215398009911419E-003                     INF
  0.275000000000000E+002  0.000000000000000E+000  0.218741788205455E-003                     INF
  0.276000000000000E+002  0.000000000000000E+000  0.222192845267384E-003                     INF
  0.277000000000000E+002  0.000000000000000E+000  0.225756331089780E-003                     INF
  0.278000000000000E+002  0.000000000000000E+000  0.229437698285622E-003                     INF
  0.279000000000000E+002  0.000000000000000E+000  0.233242732405345E-003                     INF
  0.280000000000000E+002  0.000000000000000E+000  0.237177591761257E-003                     INF
  0.281000000000000E+002  0.000000000000000E+000  0.241248826577444E-003                     INF
  0.282000000000000E+002  0.000000000000000E+000  0.245463378761594E-003                     INF
  0.283000000000000E+002  0.000000000000000E+000  0.249828662059530E-003                     INF
  0.284000000000000E+002  0.000000000000000E+000  0.254352617951460E-003                     INF
  0.285000000000000E+002  0.000000000000000E+000  0.259043766554201E-003                     INF
  0.286000000000000E+002  0.000000000000000E+000  0.263911272386641E-003                     INF
  0.287000000000000E+002  0.000000000000000E+000  0.268965023108915E-003                     INF
  0.288000000000000E+002  0.000000000000000E+000  0.274215745424724E-003                     INF
  0.289000000000000E+002  0.000000000000000E+000  0.279675178266101E-003                     INF
  0.290000000000000E+002  0.000000000000000E+000  0.285355878669388E-003                     INF
  0.291000000000000E+002  0.000000000000000E+000  0.291271603296391E-003                     INF
  0.292000000000000E+002  0.000000000000000E+000  0.297437547034804E-003                     INF
  0.293000000000000E+002  0.000000000000000E+000  0.303870542027747E-003                     INF
  0.294000000000000E+002  0.000000000000000E+000  0.310589352759208E-003                     INF
  0.295000000000000E+002  0.000000000000000E+000  0.317614946203765E-003                     INF
  0.296000000000000E+002  0.000000000000000E+000  0.324970861119583E-003                     INF
  0.297000000000000E+002  0.000000000000000E+000  0.332683926680484E-003                     INF
  0.298000000000000E+002  0.000000000000000E+000  0.340785160353066E-003                     INF
  0.299000000000000E+002  0.000000000000000E+000  0.349310639356649E-003                     INF
  0.300000000000000E+002  0.000000000000000E+000  0.358302406930765E-003                     INF
  0.301000000000000E+002  0.000000000000000E+000  0.367810432599171E-003                     INF
  0.302000000000000E+002  0.000000000000000E+000  0.377895336168194E-003                     INF
  0.303000000000000E+002  0.000000000000000E+000  0.388629907313325E-003                     INF
  0.304000000000000E+002  0.000000000000000E+000  0.400106273662832E-003                     INF
  0.305000000000000E+002  0.000000000000000E+000  0.412438908752864E-003                     INF
  0.306000000000000E+002  0.000000000000000E+000  0.425773786903730E-003                     INF
  0.307000000000000E+002  0.000000000000000E+000  0.440303616680978E-003                     INF
  0.308000000000000E+002  0.000000000000000E+000  0.456279010065187E-003                     INF
  0.309000000000000E+002  0.000000000000000E+000  0.474040576244648E-003                     INF
  0.310000000000000E+002  0.000000000000000E+000  0.494045552843782E-003                     INF
  0.311000000000000E+002  0.000000000000000E+000  0.516933610190538E-003                     INF
  0.312000000000000E+002  0.000000000000000E+000  0.543575437296296E-003                     INF
  0.313000000000000E+002  0.000000000000000E+000  0.575151986245281E-003                     INF
  0.314000000000000E+002  0.000000000000000E+000  0.613215447259846E-003                     INF
  0.315000000000000E+002  0.000000000000000E+000  0.659431308610176E-003                     INF
  0.316000000000000E+002  0.000000000000000E+000  0.715101626709782E-003                     INF
  0.317000000000000E+002  0.000000000000000E+000  0.779852824483035E-003                     INF
  0.318000000000000E+002  0.000000000000000E+000  0.849813164411781E-003                     INF
  0.319000000000000E+002  0.000000000000000E+000  0.917169823238092E-003                     INF
  0.320000000000000E+002  0.000000000000000E+000  0.972993829377689E-003                     INF
  0.321000000000000E+002  0.000000000000000E+000  0.101240256633071E-002                     INF
  0.322000000000000E+002  0.000000000000000E+000  0.103700264893142E-002                     INF
  0.323000000000000E+002  0.000000000000000E+000  0.105246199336750E-002                     INF
  0.324000000000000E+002  0.000000000000000E+000  0.106478007131673E-002                     INF
  0.325000000000000E+002  0.000000000000000E+000  0.107831722498807E-002                     INF
  0.326000000000000E+002  0.000000000000000E+000  0.109556703353671E-002                     INF
  0.327000000000000E+002  0.000000000000000E+000  0.111777015348509E-002                     INF
  0.328000000000000E+002  0.000000000000000E+000  0.114547702171784E-002                     INF
  0.329000000000000E+002  0.000000000000000E+000  0.117890750716621E-002                     INF
  0.330000000000000E+002  0.000000000000000E+000  0.121816348151671E-002                     INF
  0.331000000000000E+002  0.000000000000000E+000  0.126336858482747E-002                     INF
  0.332000000000000E+002  0.000000000000000E+000  0.131471088379860E-002                     INF
  0.333000000000000E+002  0.000000000000000E+000  0.137246243769000E-002                     INF
  0.334000000000000E+002  0.000000000000000E+000  0.143698849393054E-002                     INF
  0.335000000000000E+002  0.000000000000000E+000  0.150876212063714E-002                     INF
  0.336000000000000E+002  0.000000000000000E+000  0.158837615225113E-002                     INF
  0.337000000000000E+002  0.000000000000000E+000  0.167653417609641E-002                     INF
  0.338000000000000E+002  0.000000000000000E+000  0.177406205585872E-002                     INF
  0.339000000000000E+002  0.000000000000000E+000  0.188192787173294E-002                     INF
  0.340000000000000E+002  0.000000000000000E+000  0.200125281002451E-002                     INF
